fecha;tiempo;MODELO_CONTROLADOR;VERSION_SOFTWARE;ZONA_MUERTA_ACEL_INF;ZONA_MUERTA_ACEL_SUP;ZONA_MUERTA_FRENO_INF;ZONA_MUERTA_FRENO_SUP;VALOR_PEDAL_ACELERADOR;VALOR_PEDAL_FRENO;VALOR_POTENCIA_CONTROL;VALOR_ALIMENTACION_AUX_5V;VALOR_ALIMENTACION_B+;VALOR_CORRIENTE_FASE_A;VALOR_CORRIENTE_FASE_B;VALOR_CORRIENTE_FASE_C;VALOR_VOLTAJE_FASE_A;VALOR_VOLTAJE_FASE_B;VALOR_VOLTAJE_FASE_C;DUTY_CYCLE_PWM;ROTACION_MOTOR;TEMP_MOTOR;TEMP_CONTROLADOR_INT;TEMP_CONTROLADOR_1;TEMP_CONTROLADOR_2;RPM_MECANICAS;CORRIENTE_ACTUAL;ACELERADOR;FRENO;MARCHA_ATRAS
05/10/2012;10:43:45;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;0;6;0;0;0
05/10/2012;10:43:46;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;0;6;0;0;0
05/10/2012;10:43:47;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;0;6;0;0;0
05/10/2012;10:43:47;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;0;6;0;0;0
05/10/2012;10:43:48;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;0;6;0;0;0
05/10/2012;10:43:49;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;0;6;0;0;0
05/10/2012;10:43:49;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;130;131;0,37;0,37;0,37;4;0;8;33;22;22;2;5;0;0;0
05/10/2012;10:43:50;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;130;131;0,37;0,37;0,37;4;0;8;33;22;22;4;6;0;0;0
05/10/2012;10:43:51;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;4;6;0;0;0
05/10/2012;10:43:51;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;130;131;0,37;0,37;0,37;4;0;8;33;22;22;1;6;0;0;0
05/10/2012;10:43:52;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;130;131;0,37;0;0,37;4;0;8;33;22;22;6;6;0;0;0
05/10/2012;10:43:53;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;131;129;131;0;0,37;0,37;4;0;8;33;22;22;6;5;0;0;0
05/10/2012;10:43:54;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0;0,37;0,37;4;0;8;33;22;22;8;5;0;0;0
05/10/2012;10:43:54;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;5;6;0;0;0
05/10/2012;10:43:55;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0;4;0;8;33;22;22;5;6;0;0;0
05/10/2012;10:43:56;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;130;129;131;0,37;0,37;0;4;0;8;33;22;22;6;6;0;0;0
05/10/2012;10:43:56;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;130;129;131;0,37;0,37;0,37;4;0;8;33;22;22;3;5;0;0;0
